																																															
																			Scroll for Two-Handed Sword for Accuracy100%		Scroll for Gloves for HP 100%		Norman Grip		Opal Ore		Eloon		Light Mantis (F)		 Spear Production Stimulator		One-Handed BW Production Stimulator				Blue Tai (M)		Evil Wings		Scroll for Bottomwear for Jump 60%		Wizard Potion		Warrior Potion		Blue Halfglove
																			Khaki Shadow Pants (M)		Mithril Maul				 Spear Production Stimulator		Brown Jeweled		Brown Leather Krag								Scroll for Topwear for LUK 60%		Scroll for Knuckle for ATT 10%		Burning Hell		One-Handed BW Production Stimulator		Shoes Production Stimulator		
																									White Potion		Bow Production Stimulator		Shoes Production Stimulator								Knuckle Production Stimulator		Gun Production Stimulator		Gloves Production Stimulator						
																									Wand Production Stimulator												Ancient Scroll										
	Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability
	0		0		0		10		30		2		20		20		10		35		70		10		35		40		20		175		195		18		160		200		18		330		300		32
	Need Accuracy		0				Need Accuracy		7 (1 level decrease +0.26)				Need Accuracy		37 (1 level decrease +1.33)				Need Accuracy		37 (1 level decrease +1.33)				Need Accuracy		73 (1 level decrease +2.66)				Need Accuracy		66 (1 level decrease +2.44)				Need Accuracy		66 (1 level decrease +2.44)				Need Accuracy		117 (1 level decrease +4.26)		
	Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location				
				Lv. 2						Lv. 10						Lv. 21						Lv. 30						Lv. 40						Lv. 48						Lv. 59						Lv. 75	
																																															
				X						Week Fire						X						X						Week Fire / Strong Ice						Week Holy (Possible Heal attack)						X						Strong Fire, Lightning / Immune Poison	
																																															
				15						250						285						800						2000						2800						6000						18000	
																																															
				15						10						29						175						50						80						150						220	
				4						18						38						120						85						120						210						350	
	Blue Snail			8 ~ 12 meso			Dark Stump			20 ~ 30 meso			Jr. Necki			33 ~ 49 meso			Fairy			80 ~ 120 meso			Cold Eye			96 ~ 144 meso			Wraith			176 ~ 264 meso			Mixed Golem			296 ~ 447 meso			Taurospear			409 ~ 599 meso	
	Blue Snail Shell		Scroll for Cape for HP 100%		Red Potion		Leaf		Red Potion		Scroll for Gloves for DEX 10%		Jr. Necki's Skin		Orange Potion		Scroll for Shield for DEF 10%		Fierry's Tentacle		Orange Potion		Bule Potion		Cold Eye's Tail		Scroll for Helmet for DEF 60%		White Potion		Medicine With Weird Vibes		Dark Crystal Ore		White Potion		Mixed Block		Brown Moon Gloves		Green Gore Boots		Taurospear's Horn		Power Elixer		Black Crystal Ore
	Amethyst Ore		Steel Ore		Red-Striped T-Shirt (F)		Stolen Fence		Bronze Helmet		Pole Arm		Mithril Ore		Topaz Ore		Orange		Silver Ore		Amethyst Ore		Adamantium Ore		Gold Ore		Bule Potion		Steel Ore		Elixer		Bule Potion		Steel Ore		Gold Manute		Gold Ore		Elixer		Adamantium Ore		Scroll for Two-Handed Axe for ATT 60%		The Summoning Rock
	Red-Striped T-Shirt (F)		Grey Thick Sweat Pants (M)		Grey/Brown Training Shirt (M)		Yellow Avelin (F)		Yellow Avelin Skirt (F)		Green Arianne Skirt (F)		Coconut Knife		Red Jack Boots		Steel Sharp Helm		Topaz Ore		Orihalcon Ore		Aquamarine Ore		Pink Moon Conehat		Icicles		Eagle Crow		Garnet Ore		Red Whip		The Summoning Rock		Maroon Moon (F)		Maroon Moon Pants (F)		Bule Potion		Dark Anakarune (F)		Green Ice Queen (F)		Green Ice Queen Skirt (F)
	Grey/Brown Training Pants (M)		Green Apple		Arrow for Bow		Green Arianne (F)		Steel Ore		Garnet Ore		Blue Kendo Robe (M)		Purple Split (F)		White Split Skirt (F)		Opal Ore		Mithril Ore				Dark Guardian		Red Salt Shoes		Niam		Cat's Eye		Brown Double Boots		Blue Knucklevest Pants (M)		White Potion		Light Mantis Pants (F)		Light Mantis (F) 		Chrono		Gigantic Sledge		Golden Hinkel
	Arrow for Crossbow						Single Earring		Wooden Staff		Machete		Brown Lamelle (F)		Brown Ramel Skirt (F)		Scroll for Bottomwear for Jump 100%								Dark Avarice		Red Distinction		Old Steel Nordic Helm		Green Knucklevest (M)		Maroon Jangoon Armor (M)		White Jangoon Pants (M)		Black Basile Boots		Blue Orientican Pants (M)		Blue Orientican (M)		Dark Lorin		Dark Elf Shoes		Red Mystique (F)
							Orange Potion		Bule Potion		Steel Knuckler		Double Tail Knuckler												Brown Distinction		Red Shadow (F)		Red Shadow Pants (M)		Mithril Nordic Helm		Red Sonata		Blue Maro		Scroll for Gloves for ATT  60%		Scroll for Shield for HP 10%		Red Oriental Helmet		Red Mystique Pants (F)		Silver Ancient Shield		Beige Lineros (F)
							Brown Lagger Cap		Arrow for Bow		Arrow for Crossbow														Emerald Hildon Boots		Pink Goldwind Shoes		Brown Moon Gloves		Flame Golden Circlet		Red Maro		Brown Moon Gloves		Silver Identity		White Polyfeather Hat		Evil Tale		White Nightfox		Mithril Husk		Red Seraph Cape
																									Cat's Eye		Orihalcon Ore		Scroll for Pole Arm for Accuracy60%		Blue Goldwind Shoes		Scroll for Helmet for INT 10%		Mighty Bullet		Scroll for Shield for DEF 60%		Scroll for Gloves for HP 60%		Two-Handed Sword Production Stimulator		Dark Ritual		Green Enigma (F)		Brown Pireta Hat
																									Dark Hunter's Pants (M)		Mana Elixer		Two-Handed Sword Production Stimulator		 Spear Production Stimulator		Two-Handed BW Production Stimulator		Helmet Production Stimulator		Two-Handed BW Production Stimulator		Topwear Production Stimulator				Green Pris (M)		Blue Rivers Boots		Scroll for Two-Handed Axe for Accuracy10%
																									One-Handed BW Production Stimulator		Pole Arm Production Stimulator																Beia Crash		 Spear Production Stimulator		Dagger Production Stimulator
																																											[Storybook] Indecipherable Book				
																																															
	Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability
	0		0		0		20		10		0		30		30		25		85		105		25		80		80		15		182		180		20		160		220		20		550		400		30
	Need Accuracy		0				Need Accuracy		0				Need Accuracy		92 (1 level decrease +3.33)				Need Accuracy		92 (1 level decrease +3.33)				Need Accuracy		55 (1 level decrease +2)				Need Accuracy		73 (1 level decrease +2.66)				Need Accuracy		73 (1 level decrease +2.66)				Need Accuracy		110 (1 level decrease +4)		
	Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location				
				Lv. 2						Lv. 12						Lv. 22						Lv. 32						Lv. 40						Lv. 48						Lv. 60						Lv. 100	
																																															
				X						Week Lightning						X						Week Ice / Strong Fire						Week Holy (Possible Heal attack)						Week Lightning						Week Ice / Strong Fire						Week Holy / Immune Poison	
																																															
				20						200						300						1000						1800						3000						6000						100000	
																																															
				15						50						35						60						100						50						120						500	
				5						24						35						60						90						128						220						7000	
	Shroom			8 ~ 12 meso			Octopus			24 ~ 36 meso			Horny Mushroom			36 ~ 54 meso			Fire Boar			76 ~ 114 meso			Zombie Lupin			104 ~ 156 meso			Clang			176 ~ 264 meso			Red Drake			304 ~ 456 meso			Crimson Balrog			? meso	
	Mushroom Spore		Scroll for Cape for HP 60%		Red Potion		Octopus Leg		Red Potion		Scroll for One-Handed Sword for ATT 10%		Horny Mushroom Cap		Orange Potion		Wizard Potion		Fire Boar's Tooth		Leather		Wolbi Throwing-Star		Cursed Doll		White Potion		 Stiff Feather		Clang's Claws		Elixer		Bule Potion		Blaze Capsule		Mana Elixer		Elixer		Hwabi Throwing-Star		Scroll for Helmet for DEF 10%		Scroll for Helmet for HP 10%
	Aquamarine Ore		Mithril Ore		Field Dagger		Single Earring		Wooden Mallet		Steel Shield		Scroll for Two-Handed Axe for ATT 10%		Iron Burgernet Helm        		Green Able Armor (F)		Arwen's Glass Shoes		White Potion		Bule Potion		Bule Potion		Orihalcon Ore		Amethyst Ore		Adamantium Ore		Aquamarine Ore		Yellow Umbrella		Diamond Ore		Orihalcon Ore		Steely Throwing-Knives		Scroll for Earring for INT 10%		Scroll for Topwear for DEF 10%		Scroll for Overall Armor for DEX 10%
	Ice Jeans		Jean Capris (M)		Green Avelin Skirt (F)		Adamantium Ore		Aquamarine Ore		Bule Potion		Green Able Skirt (F)		Yellow Windshoes		Red Kendo Robe (M)		Garnet Ore		Steel Ore		Korean Fan		Silver Crow		 Purple Avenger (F)		Green Legolier Pants (M)		Scroll for One-Handed BW for ATT 60%		 Marine Shadow (M)		 Marine Shadow Pants (M)		Dark Piette Pants (M)		Dark Piette (M)		Red Moon Gloves		Scroll for Overall Armor for DEF 10%		Scroll for Bottomwear for DEF 10%		Scroll for Shoes for DEX 10%
	Green Apple		Brown Rocky Bandana		Arrow for Bow		Yellow Arianne Skirt (F)		Yellow Arianne Skirt (F) 치마		Bronze Corporal (M)		Arrow for Bow		Bronze Ore		Topaz Ore		Diamond Ore		Green Hwarang Shirt (M)		Ryden		Green Legolier (M)		Dark Pilfer		Dark Starlight (M)		Brown Piettra Skirt (F)		Brown Piettra (F)		Red Duke		Red Moon Pants (F)		Psycho Claw		Red Moon (F)		Scroll for Shoes for Jump 10%		Scroll for Shoes for Speed 10%		Scroll for Gloves for DEX 10%
	Arrow for Crossbow						Brown Corporal Pants (M)		Leather Arms		Arrow for Bow		Bule Potion		Eagle Crow		Black Pao (M)		Brown Martial Arts Pants (M)		Gold Sylvia		Red Hunter Boots		Brown Guiltian		Black Jangoon Skirt (F)		Yellow Jangoon Armor (M)		Arc Staff		Orange Golden Circlet		Mithril Crusader Helm		Skull Shield		 Marine Shadow (M)		Dark Anakamoon (M)		Scroll for Gloves for ATT  10%		Scroll for Shield for DEF 10%		Scroll for One-Handed Sword for ATT 10%
							Arrow for Crossbow						Black Pao Bottom (M)		Arrow for Crossbow		Blue Jean Shorts (M)		Blue Lutia		Silver Guardian		Black Salt Shoes		Blood Avarice		Arc Staff		Rower		Red Shouldermail (F)		Red Shouldermail Pants (F)		Blue China Pants (M)		 Marine Shadow Pants (M)		Evil Tale		Dark Seraphis		Scroll for One-Handed Axe for ATT 10%		Scroll for One-Handed BW for ATT 10%		Scroll for Dagger for ATT 10%
													Steel Fingerless Gloves		Brown Jester		Steel Shield		Green Burgler		Red Silky Boots		Heckler		The Nine Dragons		Shinkita		Black Jangoon Armor (F)		Blue China (M)		The Rising		Scroll for Topwear for LUK 10%		Silver Identity		Pink Goldrunners		Green Gore Boots		Scroll for Wand for Magic ATT  10%		Scroll for Staff for Magic ATT  10%		Scroll for Two-Handed Sword for ATT 10%
													Cutlus		Mithril Pole Arm		The Negotiator		Crystal Wand		Red Matty		Mithril Ore		Bronze Wolfskin		Dark Legolia (F)		Scroll for Spear for Accuracy10%		Fury Claw		Two-Handed Sword Production Stimulator		Claw Production Stimulator		Orihalcon Camel Boots		Dark Scorpio (M)		Dark Scorpio Pants (M)		Scroll for Two-Handed Axe for ATT 10%		Scroll for Two-Handed BW for ATT 10%		Scroll for Spear for ATT 10%
													Brown Turk Gally		Bullet		Scroll for One-Handed BW for Accuracy10%		Mithril Wand		Orange Potion		Brown Pollard		Emerald Fitted Mail (F)		Red Misty		Two-Handed Sword Production Stimulator		Gun Production Stimulator						Red Gaia Cape		Mithril Platine Pants (M)		Mithril Platine (M)		Scroll for Pole Arm for ATT 10%		Scroll for Bow for ATT 10%		Scroll for Crossbow for ATT 10%
																			Staff Production Stimulator		Knuckle Production Stimulator		Gun Production Stimulator		Gloves Production Stimulator		Shield Production Stimulator		Bow Production Stimulator								Gold Lapiz Sandals		Blue Mystique Shoes		Blue Eyes		Scroll for Claw for ATT 10%		Scroll for Knuckle for ATT 10%		Scroll for Gun for ATT 10%
																			Shield Production Stimulator																		 Drake's Skull		Dragon Skin		Scroll for Earring for LUK 100%		Scroll for Helmet for DEX 60%		Scroll for Topwear for LUK 60%		Scroll for One-Handed BW for Accuracy60%
																																					Dagger Production Stimulator		One-Handed BW Production Stimulator		Helmet Production Stimulator		Scroll for Two-Handed Sword for Accuracy60%		Scroll for Two-Handed BW for Accuracy60%		[Storybook] Crimson Balrog's Proposal
																																					Flaming Feather										
	Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability
	0		0		0		10		40		4		30		0		7		40		40		10		70		70		25		120		250		22		190		220		22		800		800		40
	Need Accuracy		0				Need Accuracy		15 (1 level decrease +0.53)				Need Accuracy		26 (1 level decrease +0.93)				Need Accuracy		37 (1 level decrease +1.33)				Need Accuracy		92 (1 level decrease +3.33)				Need Accuracy		73 (1 level decrease +2.66)				Need Accuracy		81 (1 level decrease +2.93)				Need Accuracy		147 (1 level decrease +5.333)		
	Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location				
				Lv. 4						Lv. 15						Lv. 22						Lv. 32						Lv. 42						Lv. 50						Lv. 62							
																																															
				X						Immune  Poison						Week Fire						Week Fire / Strong Ice						X						X						X							
																																															
				40						250						550						1200						2200						3200						5500							
																																															
				30						25						40						40						60						100						100							
				8						26						38						60						99						135						240							
	Red Snail			12 ~ 18 meso			Green Mushroom			28 ~ 42 meso			Dark Axe Stump			40 ~ 60 meso			Ligator			76 ~ 114 meso			Iron Hog			120 ~ 180 meso			Drake			200 ~ 300 meso			Wild Kargo			320 ~ 463 meso							
	Red Snail Shell		Scroll for Cape for MP 100%		Red Potion		Green Mushroom Cap		Red Potion		Scroll for One-Handed Axe for ATT 10%		Firewood		Orange Potion		Sap of Ancient Tree		Ligator Skin		White Potion		Bule Potion		 Iron Hog's Metal Hoof		White Potion		Bule Potion		Drake's Skull		White Potion		Warrior Potion		Scroll for Earring for LUK 10%		Mana Elixer		Black Crystal Ore						
	Scroll for Overall Armor for DEX 10%		Wooden Sword		Leather Purse		Bule Potion		Emerald Ore		Mace		Scroll for Two-Handed BW for ATT 10%		Brown Doroness Robe (F)		Green Able Skirt (F)		Mithril Ore		Aquamarine Ore		Plunger		Sapphire Ore		Adamantium Ore		Elixer		Drake's Blood		Drake's Meat		Gold Ore		Gold Ore		Scroll for Wand for Magic ATT  60%		Dark Golden Circlet						
	Silver Ore		Opal Ore		Metal Wand		Red Nightshift (F)		Red Nightshift Pants (F)		Silver Ore		 Purple Shivermail (F)		 Purple  Shivermail Skirt (F)		Arrow for Bow		Gephart		Scroll for Cape for Magic Def 10%		The Magic Rock		Halfmoon Zamadar		Dankke		Brown Burgler		Diamond Ore		Dragon Skin		Elixer		Power Elixer		Tobi Throwing-Star		Golden Mole						
	Brown Duo		Amethyst Earrings		Brown Woodsman Boots		Pan Lid		BATT le Crossbow		그레이 Able Armor (F)		Steel Ore		Diamond Ore		Bule Potion		Yellow Engrit (F)		Mithril Maul		Green Marker		Adamantium Tower Shield		Red-Lined Kismet (M)		Red Moon Shoes		Kumbi Throwing-Star		Vaulter 2000		Zeco		Steel Nordic Helm		Red Distinction		OrangeCalas (M)						
	Red Cloth Pants (F)		Green Apple		Brown Rocky Suit		그레이 Able Skirt (F)		Composite Bow		Old Wisconsin		Adamantium Igor		Red Lappy Boots		Yellow Starry Bandana		Red Amoria Top (F)		Steel Arbion		Mithril Trigger		Blue Pierre Shoes		Gold Cleave		Brown Guiltian		Black Green-Lined Shoes		Gold Moon Shoes		Sabretooth		Blue China (M)		Blue China Pants (M)		Red Shouldermail (F)						
	Arrow for Bow		Arrow for Crossbow				Long Sword		Iron Axe		Leather Arms		Mithril Guards		Silver Guardian		Arrow for Crossbow		Steel Tower Shield		Zeco		Scroll for Knuckle for ATT 10%		OrangeCalaf (F)		Scroll for Helmet for DEX 100%		Blood Slain		Dark Calaf (F)		Blue Lumati (F)		Umber Shouldermail (M) 		Red Shouldermail Pants (F)		Red Anakarune (F)		Dark Clench						
							Aquamarine Ore		Single Earring		Brown Winter Hat		 Purple Doroness Robe (F)		Black Lappy Boots		The Summoning Rock		Red Amoria Skirt (F)		White Oceania Cap		 Spear Production Stimulator		Jacker		 Spear Production Stimulator		Two-Handed BW Production Stimulator		Umber Shouldermail Pants (M)		Maroon Moon (F)		Maroon Moon Pants (F)		Red Tai (M)		Sephia Garner		Orihalcon Camel Boots						
							Orange Potion		Green Matty		Brown Lagger Slipper		Wooden Top		Axe		Brown Double Marine		Bow Production Stimulator		One-Handed Sword Production Stimulator		Wand Production Stimulator								Dark Willow		Thorns		Pan Lid		Blood Gigantic		Skylar		Red Magic Cape						
							Arrow for Bow		Arrow for Crossbow		Zeco		Scroll for Two-Handed Sword for Accuracy60%		Scroll for Two-Handed BW for Accuracy100%																Eagle Crow		Speed Potion		Silver Ore		Brown Requierre (F)		Blue Eyes		Blue Carzen Boots						
							 Purple Arianne (F)		 Purple Arianne Skirt (F)																						Brown Leather Ocean Hat		Scroll for Topwear for HP 10%		Claw Production Stimulator		Red Mystique (F)		Red Mystique Pants (F)		Black Bisk						
																															One-Handed BW Production Stimulator		Pole Arm Production Stimulator				Scroll for Knuckle for Accuracy 10%		Scroll for One-Handed BW for Accuracy 60%		Scroll for Gloves for HP 100%						
																																					Staff Production Stimulator		Knuckle Production Stimulator		 Wild Kargo's Eye						
																																															
	Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability						
	3		10		0		12		40		5		50		20		7		45		40		12		400		400		18		170		180		22		180		130		20						
	Need Accuracy		0				Need Accuracy		18 (1 level decrease +0.66)				Need Accuracy		26 (1 level decrease +0.93)				Need Accuracy		44 (1 level decrease +1.66)				Need Accuracy		66 (1 level decrease +2.44)				Need Accuracy		66 (1 level decrease +2.44)				Need Accuracy		73 (1 level decrease +2.66)								
	Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location										
				Lv. 6						Lv. 15						Lv. 23						Lv. 35						Lv. 44						Lv. 52						Lv. 63							
																																															
				Week Lightning						X						X						Strong Poison						Week Holy (Possible Heal attack)						X						Week Holy (Possible Heal attack)							
																																															
				50						240						500						1250						2450						3800						7200							
																																															
				35						10						0						65						0						75						100							
				10						26						42						70						107						170						240							
	Slime			12 ~ 18 meso			Bubbling			24 ~ 36 meso			Wooden Mask			54 ~ 83 meso			Curse Eye			60 ~ 90 meso			Skeledog			135 ~ 208 meso			Croco			224 ~ 336 meso			Officer Skeleton			328 ~ 492 meso							
	Squishy Liquid		Scroll for Cape for DEX 100%		Slime's Bubble		Red Potion		Scroll for Cape for INT 100%		Scroll for Dagger for ATT 10%		 Wooden Board		Orange Potion		Amethyst Ore		Curse Eye's Tail		White Potion		Scroll for Bow for ATT 10%		Skeledog's Bone		White Potion		Bule Potion		Croco Skin		White Potion		Elixer		Pelvic Bone		White Potion		Elixer						
	Red Potion		Scroll for Bottomwear for DEF 10%		White Bandana		Scroll for Cape for Weapon Def 60%		Bule Potion		Sapphire Ore		Aquamarine Ore		Bronze Ore		Scroll for Cape for INT 60%		Bule Potion		Lollipop		Orihalcon Ore		Diamond Ore		Silver Ore		Bronze Ore		Bule Potion		Bronze Ore		Opal Ore		Scroll for Staff for Magic ATT  10%		Scroll for Gloves for ATT  60%		Bronze Ore						
	Metal Axe		Orihalcon Ore		Sapphire Ore		Mithril Ore		Arrow for Bow		Arrow for Crossbow		Brown Robin Hat		Mithril Viking Helm		Scroll for Shield for DEF 60%		Topaz Ore		Split Bullet		Red Hwarang Shirt (M)		Great Red Helmet		Blue 두건		Brown Matty		Dragon Toenail		Hall Staff		Red Calas (M)		Emerald Ore		Mithril Brist		Blue Moon Gloves						
	Fork on a Stick		Beige Nitty		Lemona		Bubbling's Large Bubble		Red Apprentice Hat		Spear		Blue Split Piece (M)		Green Loosecap		Black Split Pants (M)		Black Martial Arts Pants (M)		Green Matty		Dark Burgler		Green Burgler		Hall Staff		Titan		Dark Golden Circlet		Green Lumati (F)		Brown Sonata		Blue Pennance		Adamantium Legend Shield		Red Willow						
	Leather Purse		Iron Axe		Green Apple		Blue Nightshift (M)		Blue Nightshift Pants (M)		Yellow Able Armor (F)		Black Lappy Boots		Gold War Boots		Silver Sylvia		Black Knucklevest (M)		Black Knucklevest Pants (M)		Nakamaki		Sai		Blue-Lined Kismet (M)		Red Pierre Shoes		Brown Moon Pants (F)		Brown Moon (F)		Light Scorpio (M)		Serpent's Coil		Blood Gigantic		Blue Oriental Helmet						
	Steel Knuckler		Arrow for Bow		Arrow for Crossbow		Brown Abel Skirt (F)		Wooden Samurai Sword		Blue Jewelry Shoes		Iron Dagger		Orihalcon Missel		Ocean Mesana		Blue Moonlight (F)		Red Duke		Brown Piette Pants (M)		Black Green-Lined Shoes		Maroon Jangoon Boots		Mokbi Throwing-Star		Light Scorpio Pants (M)		Wooden Legend Shield		Bronze Pow		Dark Seraphis		Silver Identity		White Polyfeather Hat						
							Fish Spear		The Magic Rock		Iron Axe		Scroll for Spear for Accuracy 60%		Bule Potion		Scroll for Knuckle for Accuracy100%		Brown Piette (M)		Scroll for Gun for ATT 10%		Lunar Shooter		The Magic Rock		Scroll for Spear for ATT 60%		Scroll for Shoes for Jump 10%		Scroll for Helmet for DEX 100%		Scroll for One-Handed BW for Accuracy60%		Scroll for Two-Handed BW for Accuracy60%		Bronze Husk		Blue Eyes		Brown Lorin						
							Green Lagger Halfglove		Dellinger Special		Bullet		Bullet		Brown Double Marine				Sniper Potion		Silver Maiden		Two-Handed Axe Production Stimulator		Scroll for Gloves for HP 60%		Scroll for Shield for STR 100%		Staff Production Stimulator		Diamond Ore		Scroll for Knuckle for ATT 60%		Black Royal Barone		Silver Rover		Scroll for Earring for HP 10%		Scroll for Topwear for STR 100%						
																			Gun Production Stimulator		Bow Production Stimulator		"Blackbull's" deed to the land		One-Handed Sword Production Stimulator		Overall Production Stimulator				Staff Production Stimulator		Two-Handed BW Production Stimulator				Scroll for Topwear for LUK 100%		Scroll for Shield for HP 10%		Beia Crash						
																																					Mighty Bullet		Speed Potion		Neocora						
																																					Bow Production Stimulator		Knuckle Production Stimulator		Gloves Production Stimulator						
																																					Wand Production Stimulator										
																																															
	Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability		Weapon DEF		Magic DEF		Avoidability						
	5		10		1		40		50		10		30		40		10		45		70		10		170		190		18		120		80		20		190		230		25						
	Need Accuracy		4 (1 level decrease +0.13)				Need Accuracy		37 (1 level decrease +1.33)				Need Accuracy		37 (1 level decrease +1.33)				Need Accuracy		37 (1 level decrease +1.33)				Need Accuracy		66 (1 level decrease +2.44)				Need Accuracy		73 (1 level decrease +2.66)				Need Accuracy		92 (1 level decrease +3.33)								
	Common Location						Common Location						Common Location						Common Location						Common Location						Common Location						Common Location										
